#string_protein_id,0
9606.ENSP00000000233,381
9606.ENSP00000000412,4074
9606.ENSP00000001008,2288
9606.ENSP00000001146,56603
9606.ENSP00000002125,55471
9606.ENSP00000002165,229950;2519
9606.ENSP00000002596,9957
9606.ENSP00000002829,601923;6405
9606.ENSP00000003084,1080
9606.ENSP00000003100,1595
9606.ENSP00000003302,57646
9606.ENSP00000004531,6542
9606.ENSP00000005178,5166
9606.ENSP00000005226,10083
9606.ENSP00000005257,5898
9606.ENSP00000005260,55971
9606.ENSP00000005284,10368
9606.ENSP00000005286,54972
9606.ENSP00000005340,1856
9606.ENSP00000005386,79657
9606.ENSP00000005587,8935
9606.ENSP00000005995,10942
9606.ENSP00000006015,3207
9606.ENSP00000006053,602236;6376
9606.ENSP00000006275,79090
9606.ENSP00000006526,84058
9606.ENSP00000006658,64847
9606.ENSP00000006724,1087
9606.ENSP00000006777,57414
9606.ENSP00000007390,115939
9606.ENSP00000007414,114881
9606.ENSP00000007699,51087
9606.ENSP00000007722,3675
9606.ENSP00000007735,3883
9606.ENSP00000008391,83741
9606.ENSP00000008527,1407
9606.ENSP00000008938,8993
9606.ENSP00000009041,83930
9606.ENSP00000009105,57172
9606.ENSP00000009530,972
9606.ENSP00000010299,199870
9606.ENSP00000011292,1357
9606.ENSP00000011473,6856
9606.ENSP00000011619,10048
9606.ENSP00000011653,920
9606.ENSP00000011898,10867
9606.ENSP00000012049,54814
9606.ENSP00000012443,5536
9606.ENSP00000013070,55148
9606.ENSP00000013125,11183
9606.ENSP00000013222,11185
9606.ENSP00000013807,2067
9606.ENSP00000014914,9052
9606.ENSP00000014930,50865
9606.ENSP00000016171,1355
9606.ENSP00000016913,54860
9606.ENSP00000016946,729540;84220
9606.ENSP00000017003,64132
9606.ENSP00000019103,6344
9606.ENSP00000019317,10928
9606.ENSP00000020673,5662
9606.ENSP00000020926,57586
9606.ENSP00000023064,11136
9606.ENSP00000023939,51507
9606.ENSP00000025008,9821
9606.ENSP00000025301,11215
9606.ENSP00000026218,9091
9606.ENSP00000027335,1015
9606.ENSP00000029410,11285
9606.ENSP00000033079,51306
9606.ENSP00000035307,54480
9606.ENSP00000035383,57554
9606.ENSP00000037243,11345
9606.ENSP00000037502,231500;4653
9606.ENSP00000037869,84908
9606.ENSP00000039007,5009
9606.ENSP00000039989,55761
9606.ENSP00000040584,3224
9606.ENSP00000040663,84245
9606.ENSP00000040738,259282
9606.ENSP00000040877,6894
9606.ENSP00000043402,65078
9606.ENSP00000044462,5685;611385
9606.ENSP00000046087,11055
9606.ENSP00000046794,3937
9606.ENSP00000052754,1634
9606.ENSP00000053243,608
9606.ENSP00000053468,55173
9606.ENSP00000053867,2896
9606.ENSP00000054650,90326
9606.ENSP00000054666,9341
9606.ENSP00000054668,10911
9606.ENSP00000054950,5954
9606.ENSP00000055077,5982
9606.ENSP00000055335,89801
9606.ENSP00000055682,340533
9606.ENSP00000056217,7984
9606.ENSP00000056233,9603
9606.ENSP00000061240,7092
9606.ENSP00000062104,4826
9606.ENSP00000064571,140689
9606.ENSP00000064724,5010
9606.ENSP00000064778,23201
9606.ENSP00000064780,84957
9606.ENSP00000070846,5318
9606.ENSP00000072644,54432
9606.ENSP00000072869,90956
9606.ENSP00000074304,3631
9606.ENSP00000075120,138240;6515
9606.ENSP00000075503,55359
9606.ENSP00000078429,2767
9606.ENSP00000078445,84699
9606.ENSP00000080059,51564
9606.ENSP00000081029,60488
9606.ENSP00000083182,10513
9606.ENSP00000084798,770
9606.ENSP00000085068,79763
9606.ENSP00000085219,933
9606.ENSP00000086933,2928
9606.ENSP00000155840,3784
9606.ENSP00000155858,29850
9606.ENSP00000155926,28951
9606.ENSP00000156084,55593
9606.ENSP00000156109,27238
9606.ENSP00000156471,9716
9606.ENSP00000156626,55808
9606.ENSP00000157600,29995
9606.ENSP00000157812,5704
9606.ENSP00000158009,54752
9606.ENSP00000158166,84254
9606.ENSP00000158762,9744
9606.ENSP00000158771,51009
9606.ENSP00000159060,50508
9606.ENSP00000159087,57719
9606.ENSP00000159111,23030
9606.ENSP00000160262,3385
9606.ENSP00000160373,83992
9606.ENSP00000160382,51412
9606.ENSP00000160827,3835
9606.ENSP00000161006,64063
9606.ENSP00000161559,634
9606.ENSP00000161863,64848
9606.ENSP00000162044,54929
9606.ENSP00000162391,55810
9606.ENSP00000162749,170300;7132
9606.ENSP00000163416,9950
9606.ENSP00000164024,1951
9606.ENSP00000164133,5526
9606.ENSP00000164139,153460;5837
9606.ENSP00000164227,602
9606.ENSP00000164305,9488
9606.ENSP00000164640,57595
9606.ENSP00000165524,51052
9606.ENSP00000166139,10272
9606.ENSP00000166244,2046
9606.ENSP00000166345,9319
9606.ENSP00000167106,22846
9606.ENSP00000167586,3861
9606.ENSP00000167588,54474
9606.ENSP00000168148,6694
9606.ENSP00000168216,3028;602057
9606.ENSP00000168712,2249
9606.ENSP00000169298,6480
9606.ENSP00000169551,29090
9606.ENSP00000170150,80341
9606.ENSP00000170168,57455
9606.ENSP00000170447,23609
9606.ENSP00000170564,55094
9606.ENSP00000171111,9817
9606.ENSP00000171757,27334
9606.ENSP00000171887,7145
9606.ENSP00000172229,4804
9606.ENSP00000173229,9423
9606.ENSP00000173527,51015
9606.ENSP00000173898,7216
9606.ENSP00000174618,4335
9606.ENSP00000175091,9741
9606.ENSP00000175238,8756
9606.ENSP00000175506,440
9606.ENSP00000175756,26469
9606.ENSP00000176183,1815
9606.ENSP00000176195,6343
9606.ENSP00000176763,6793
9606.ENSP00000177694,30009
9606.ENSP00000177742,65993
9606.ENSP00000178638,771
9606.ENSP00000178640,5607
9606.ENSP00000179259,57103
9606.ENSP00000180166,26281
9606.ENSP00000180173,9108
9606.ENSP00000181383,1361
9606.ENSP00000181796,83641
9606.ENSP00000181839,8621
9606.ENSP00000182290,10077
9606.ENSP00000182527,9697
9606.ENSP00000183605,51208
9606.ENSP00000184183,54763
9606.ENSP00000184266,4710
9606.ENSP00000184956,63897
9606.ENSP00000185150,27248
9606.ENSP00000185206,53405
9606.ENSP00000186436,23505
9606.ENSP00000187762,79041
9606.ENSP00000188312,64431
9606.ENSP00000188790,2191
9606.ENSP00000190165,58524
9606.ENSP00000192314,64090
9606.ENSP00000192788,54887
9606.ENSP00000193322,28962
9606.ENSP00000193391,50939
9606.ENSP00000194130,6561
9606.ENSP00000194152,56131
9606.ENSP00000194155,56133
9606.ENSP00000194214,51668
9606.ENSP00000194530,55437
9606.ENSP00000196061,5351;601451
9606.ENSP00000196371,5019
9606.ENSP00000196489,55659
9606.ENSP00000197268,57613
9606.ENSP00000198536,29992
9606.ENSP00000198767,54700
9606.ENSP00000198801,80168
9606.ENSP00000199280,222000;359
9606.ENSP00000199320,27292
9606.ENSP00000199389,27102
9606.ENSP00000199447,51314
9606.ENSP00000199448,54749
9606.ENSP00000199706,10573
9606.ENSP00000199708,3049
9606.ENSP00000199764,4680
9606.ENSP00000199814,55696
9606.ENSP00000199936,3294
9606.ENSP00000200135,9183
9606.ENSP00000200181,3691
9606.ENSP00000200453,23645
9606.ENSP00000200457,7205
9606.ENSP00000200557,4185
9606.ENSP00000200652,6583
9606.ENSP00000200676,1071;607322
9606.ENSP00000200691,4504
9606.ENSP00000201031,7022
9606.ENSP00000201586,6820
9606.ENSP00000201647,54869
9606.ENSP00000201979,28954
9606.ENSP00000202017,81572
9606.ENSP00000202556,23368
9606.ENSP00000202625,343641
9606.ENSP00000202677,57186
9606.ENSP00000202816,51575
9606.ENSP00000202967,23409
9606.ENSP00000203001,51605
9606.ENSP00000203407,7384
9606.ENSP00000203556,51291
9606.ENSP00000203629,3902
9606.ENSP00000203630,8079
9606.ENSP00000203664,78990
9606.ENSP00000204517,7023
9606.ENSP00000204549,10081
9606.ENSP00000204566,51324
9606.ENSP00000204604,8646
9606.ENSP00000204615,7066
9606.ENSP00000204679,84572
9606.ENSP00000204726,2802
9606.ENSP00000204961,122920;1947;600402
9606.ENSP00000205061,2734
9606.ENSP00000205143,10683
9606.ENSP00000205194,57106
9606.ENSP00000205214,132949
9606.ENSP00000205402,1738
9606.ENSP00000205557,368
9606.ENSP00000205636,54918
9606.ENSP00000205890,51168
9606.ENSP00000205948,350
9606.ENSP00000206020,9552
9606.ENSP00000206423,151887
9606.ENSP00000206474,54930
9606.ENSP00000206513,1053
9606.ENSP00000206542,55644
9606.ENSP00000206595,55632
